task,model,samples,wer_vs_reference,cer_vs_reference,rouge_1,rouge_2,rouge_l,bertscore_precision,bertscore_recall,bertscore_f1,avg_latency_seconds,max_text_length_chars
summarization,llama3.1:8b-instruct,300,173.58493914464242,138.03447647318046,0.0814107966439168,0.0339501117261414,0.0764226368734041,0.5143786072731018,0.5253994464874268,0.5173295736312866,4.533985050790943,
summarization,aya-expanse:8b,300,208.78390963428225,172.32749590255474,0.064318538423452,0.032343690059732,0.0631192438908241,0.515578031539917,0.5294845104217529,0.5190345644950867,4.139778542050626,
summarization,falcon3:7b-instruct,300,235.21406681391008,193.0180600962615,0.009379631309764,0.0022793406800111,0.0090365471840795,0.3671109080314636,0.3779491186141968,0.3708263635635376,4.135275213980737,
summarization,gemma2:9b,300,271.1618173037092,231.13482905150187,0.0276097865056311,0.0114115157661219,0.0273008852492883,0.3921136856079101,0.4253163039684295,0.4067395329475403,5.999279968986909,
summarization,qwen2.5:7b-instruct,300,327.11256707709964,256.7649906919589,0.0157894451582224,0.0028271463126025,0.0142065756534567,0.3433190286159515,0.3843249678611755,0.3620047271251678,4.749134404129969,
summarization,ilsp/Llama-Krikri-8B-Instruct:latest,300,199.3995971286116,166.49335423036658,0.1306583040752249,0.0628689233774821,0.119880363606108,0.5184085369110107,0.5675774216651917,0.5396127104759216,47.11722845282095,117879
