model,samples,exact_match,wer_vs_reference,cer_vs_reference,wer_vs_original,cer_vs_original,changed_input_rate,avg_latency_seconds,task,gleu_vs_reference
llama3.1:8b-instruct,175,0.12,10.48901488306166,4.470443794460694,11.52662721893491,4.620831677444994,0.9885714285714284,0.8216546565507139,gec,0.7957922337370458
gemma2:9b,175,0.1371428571428571,11.670210252775808,5.207092044921099,13.159763313609467,5.531269193251202,0.9771428571428572,1.1172858809307218,gec,0.7839899937460914
qwen2.5:7b-instruct,175,0.0685714285714285,13.32388377037562,6.326508503954067,12.662721893491124,6.05151920228332,0.9485714285714286,1.6513147955600704,gec,0.7505944187210611
aya-expanse:8b,175,0.0571428571428571,21.025277580911883,11.75387281984617,23.17159763313609,12.218649517684888,0.9942857142857144,0.772416416948129,gec,0.6546869210818822
falcon3:7b-instruct,175,0.0057142857142857,27.04937396645405,18.026216011266385,24.71005917159763,17.3994725242964,0.9142857142857144,1.892475532963872,gec,0.6171921475312314
ilsp/Llama-Krikri-8B-Instruct:latest,175,0.0457142857142857,28.49043231750532,17.80594374029538,31.14792899408284,18.35687705480689,0.9942857142857144,6.329715394138225,gec,0.5933270566082146
