task,model,samples,tokens,accuracy,macro_f1,avg_latency_seconds,entity_f1
ner,gemma2:9b,500,15187,0.7955488246526634,0.1218257548657786,1.675276077417191,0.0431557653405259
ner,qwen2.5:7b-instruct,500,15187,0.6894712583130309,0.0945771557769653,1.577289878907148,0.0448207171314741
ner,llama3.1:8b-instruct,500,15187,0.8120102719431093,0.0944100819669818,1.0968341422863304,0.0488188976377952
ner,falcon3:7b-instruct,500,15187,0.8040429314545334,0.092625774340406,1.6765450276839546,0.0259740259740259
ner,aya-expanse:8b,500,15187,0.7347073154671758,0.0801860171949947,1.334985840015579,0.0098826436071649
ner,ilsp/Llama-Krikri-8B-Instruct:latest,500,15187,0.7439915717389873,0.092650906902715,16.443454859456047,
