task_segment,primary_metric,winner,winner_value,winner_quality_score,runner_up,runner_up_value,runner_up_quality_score,quality_margin,margin,fastest_model,fastest_latency_seconds,samples,note
GEC,gleu_vs_reference,llama3.1:8b-instruct,0.7957922337370458,100.0,gemma2:9b,0.7839899937460914,94.17073090873077,5.829269091269225,0.011802239990954422,aya-expanse:8b,0.772416416948129,175,Winner was within 10% of the fastest model.
Intent Classification,macro_f1,gemma2:9b,0.737224340442371,100.0,llama3.1:8b-instruct,0.7073575751971163,92.77057979682283,7.22942020317717,0.029866765245254667,falcon3:7b-instruct,0.187616963437737,436,
Legal Classification,macro_f1,ilsp/Llama-Krikri-8B-Instruct:latest,0.1558109611519788,100.0,gemma2:9b,0.1263091597727424,72.95794263707933,27.042057362920673,0.029501801379236386,llama3.1:8b-instruct,0.9137702800696716,500,
Machine Translation (ENG),chrf,gemma2:9b,61.78070207283761,100.0,ilsp/Llama-Krikri-8B-Instruct:latest,61.66588246706688,99.09223540611667,0.9077645938833285,0.1148196057707338,falcon3:7b-instruct,0.4309444729066454,500,
Machine Translation (FAS),chrf,qwen2.5:7b-instruct,18.324605450203205,100.0,ilsp/Llama-Krikri-8B-Instruct:latest,3.5266274069886734,9.029086843121132,90.97091315687886,14.797978043214531,falcon3:7b-instruct,0.4156837107036262,500,
Machine Translation (JPN),chrf,gemma2:9b,16.72590200409437,100.00000000000001,aya-expanse:8b,16.53276015149375,97.5336399207008,2.4663600792992213,0.19314185260061834,qwen2.5:7b-instruct,0.5577188096814789,500,
NER,macro_f1,gemma2:9b,0.1218257548657786,100.0,qwen2.5:7b-instruct,0.0945771557769653,34.56106927414193,65.43893072585807,0.027248599088813302,llama3.1:8b-instruct,1.0968341422863304,500,
POS,macro_f1,gemma2:9b,0.4861942277048872,100.0,falcon3:7b-instruct,0.3321202120515754,49.697650477747416,50.302349522252584,0.1540740156533118,aya-expanse:8b,0.9934320670088932,456,
Summarization,bertscore_f1,ilsp/Llama-Krikri-8B-Instruct:latest,0.5396127104759216,100.00000000000001,aya-expanse:8b,0.5190345644950867,88.41372690990153,11.586273090098487,0.02057814598083496,falcon3:7b-instruct,4.135275213980737,300,
