task,model,samples,tokens,accuracy,macro_f1,avg_latency_seconds
pos,gemma2:9b,456,10672,0.6032608695652174,0.4861942277048872,1.3605157698365746
pos,falcon3:7b-instruct,456,10672,0.4376874062968516,0.3321202120515754,1.3853740922140627
pos,llama3.1:8b-instruct,456,10672,0.3902736131934033,0.3093092202386063,1.210120253228652
pos,qwen2.5:7b-instruct,456,10672,0.354291604197901,0.3017091028510529,1.1163138636738152
pos,aya-expanse:8b,456,10672,0.2293853073463268,0.1798983645560833,0.9934320670088932
pos,ilsp/Llama-Krikri-8B-Instruct:latest,456,10672,0.335832083958021,0.2693759261935509,15.236091668055836
