rank,model,tasks_completed,avg_normalized_quality,median_normalized_quality,avg_latency_seconds
1,gemma2:9b,9,77.50348910137191,100.0,1.5020423176098632
2,llama3.1:8b-instruct,9,60.64799540051615,75.97767907401493,1.1593070321661354
3,qwen2.5:7b-instruct,9,49.09347406846097,46.71129373960917,1.3952391641373727
4,ilsp/Llama-Krikri-8B-Instruct:latest,9,48.527438292865526,29.935082219468857,11.96301291036712
5,aya-expanse:8b,9,47.57509490574421,47.23678398844616,1.1427261077185755
6,falcon3:7b-instruct,9,15.839067874408029,6.556015935926798,1.3374783202303073
