task,model,samples,accuracy,macro_f1,avg_latency_seconds
intent_classification,gemma2:9b,436,0.8623853211009175,0.737224340442371,0.2838983472368312
intent_classification,qwen2.5:7b-instruct,436,0.7522935779816514,0.6448049254464802,0.2043550111211349
intent_classification,llama3.1:8b-instruct,436,0.7201834862385321,0.7073575751971163,0.224344674297053
intent_classification,aya-expanse:8b,436,0.7155963302752294,0.5632548711165439,0.2852583610716515
intent_classification,falcon3:7b-instruct,436,0.5779816513761468,0.4879802335527893,0.187616963437737
intent_classification,ilsp/Llama-Krikri-8B-Instruct:latest,436,0.7018348623853211,0.3240962553971985,1.88507576204768
