model,samples,exact_match,wer_vs_reference,cer_vs_reference,wer_vs_original,cer_vs_original,changed_input_rate,avg_latency_seconds,task,gleu_vs_reference,accuracy,macro_f1,target_lang,bleu,chrf,tokens,entity_f1,rouge_1,rouge_2,rouge_l,bertscore_precision,bertscore_recall,bertscore_f1
ilsp/Llama-Krikri-8B-Instruct:latest,175,0.0457142857142857,28.49043231750532,17.80594374029538,31.14792899408284,18.35687705480689,0.9942857142857144,6.329715394138225,gec,,,,,,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,436,,,,,,,1.88507576204768,intent_classification,,0.7018348623853211,0.3240962553971985,,,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,500,,,,,,,3.7072363043017686,legal_classification,,0.218,0.1558109611519788,,,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,500,,56.50835577683349,39.20458047529421,,,,4.717792068468407,machine_translation,,,,eng,,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,500,,110.69957869292418,107.39401276584104,,,,5.300364341337234,machine_translation,,,,fas,,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,500,,148.45476190476188,111.66315911976037,,,,6.930157342677936,machine_translation,,,,jpn,,,,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,500,,,,,,,16.443454859456047,ner,,0.7439915717389873,0.092650906902715,,,,15187.0,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,456,,,,,,,15.236091668055836,pos,,0.335832083958021,0.2693759261935509,,,,10672.0,,,,,,,
ilsp/Llama-Krikri-8B-Instruct:latest,300,,191.4560439116444,157.6162354888979,,,,34.58672557220794,summarization,,,,,,,,,0.1243379346342468,0.0624067324592164,0.1131016319672041,0.5147913098335266,0.556853175163269,0.5326319336891174
