task,model,samples,tokens,accuracy,macro_f1,avg_latency_seconds,entity_f1
ner,gemma2:9b,100,2982,0.7967806841046278,0.10890967573807434,1.6565384734398685,
ner,llama3.1:8b-instruct,100,2982,0.8158953722334004,0.09917583977989083,1.0877542599849404,
ner,falcon3:7b-instruct,100,2982,0.8061703554661301,0.0936613132499052,1.5652005335595458,
ner,qwen2.5:7b-instruct,100,2982,0.6938296445338699,0.09061791432060645,1.4376916960300878,
ner,aya-expanse:8b,100,2982,0.7424547283702213,0.07289882101592828,1.3204072235221975,
