model,samples,exact_match,wer_vs_reference,cer_vs_reference,wer_vs_original,cer_vs_original,changed_input_rate,avg_latency_seconds,task,gleu_vs_reference
llama3.1:8b-instruct,100,0.15,10.291666666666666,4.583602324080052,11.36173767752715,4.716676358467403,0.99,0.8107552596181631,gec,
gemma2:9b,100,0.17,11.416666666666666,5.183989670755326,13.032581453634085,5.543710021321962,0.99,1.0888694670260883,gec,
qwen2.5:7b-instruct,100,0.09,12.708333333333334,6.4686894770819885,12.030075187969924,6.112295664534471,0.95,1.5877069607633165,gec,
aya-expanse:8b,100,0.08,22.458333333333332,13.008392511297611,24.519632414369255,13.465141823350779,1.0,0.7755243062134832,gec,
falcon3:7b-instruct,100,0.0,30.125,21.594577146546158,27.94486215538847,21.1475092072107,0.91,1.8393554207263514,gec,
