model,samples,exact_match,wer_vs_reference,cer_vs_reference,wer_vs_original,cer_vs_original,changed_input_rate,avg_latency_seconds,task
llama3.1:8b,2,0.5,1.9230769230769231,1.1940298507462686,3.8461538461538463,1.2012012012012012,1.0,15.241208062507212,gec
qwen2.5:7b-instruct,2,0.5,5.769230769230769,8.656716417910447,7.6923076923076925,8.70870870870871,1.0,17.326626896014204,gec
aya-expanse:8b,2,0.0,11.538461538461538,7.462686567164179,13.461538461538462,7.807807807807808,1.0,174.48113650000596,gec
