task_segment,primary_metric,winner,winner_value,winner_quality_score,runner_up,runner_up_value,runner_up_quality_score,quality_margin,margin,fastest_model,fastest_latency_seconds,samples,note
GEC,exact_match,gemma2:9b,0.17,99.99999999999999,llama3.1:8b-instruct,0.15,88.23529411764706,11.764705882352928,0.020000000000000018,aya-expanse:8b,0.7755243062134832,100,
Intent Classification,macro_f1,gemma2:9b,0.8470143871701158,100.0,llama3.1:8b-instruct,0.7009348586383469,45.77081155078847,54.22918844921153,0.14607952853176887,falcon3:7b-instruct,0.2042369671794585,100,
Legal Classification,macro_f1,falcon3:7b-instruct,0.0101282051282051,100.0,aya-expanse:8b,0.0081632653061224,66.54217655478342,33.457823445216576,0.001964939822082701,aya-expanse:8b,0.6859502804884687,100,Winner was within 10% of the fastest model.
Machine Translation (ENG),wer_vs_reference,aya-expanse:8b,54.68785306069433,100.0,qwen2.5:7b-instruct,58.65559441550345,89.19104017717832,10.808959822821677,3.967741354809121,qwen2.5:7b-instruct,0.4708300018201357,87,
Machine Translation (FAS),wer_vs_reference,qwen2.5:7b-instruct,104.76979916635088,100.0,aya-expanse:8b,111.12637362637363,88.47738981110471,11.522610188895285,6.356574460022756,falcon3:7b-instruct,0.4421462137834169,4,
Machine Translation (JPN),wer_vs_reference,aya-expanse:8b,133.33333333333334,100.0,gemma2:9b,144.44444444444446,97.05882352941177,2.941176470588232,11.111111111111114,qwen2.5:7b-instruct,0.547680103401136,9,
NER,macro_f1,gemma2:9b,0.1089096757380743,100.0,llama3.1:8b-instruct,0.0991758397798908,72.96971695537863,27.03028304462137,0.009733835958183487,llama3.1:8b-instruct,1.0877542599849404,100,
POS,macro_f1,gemma2:9b,0.469192161939368,100.0,falcon3:7b-instruct,0.3530651796261314,60.15406991341377,39.84593008658623,0.11612698231323665,aya-expanse:8b,0.9806363653950392,100,
Summarization,wer_vs_reference,llama3.1:8b-instruct,189.0613331180388,100.0,aya-expanse:8b,243.16152269465397,77.39148243526459,22.608517564735408,54.10018957661518,aya-expanse:8b,3.68814569687238,100,Winner was within 10% of the fastest model.
