task,model,samples,accuracy,macro_f1,avg_latency_seconds
intent_classification,gemma2:9b,436,0.8623853211009175,0.737224340442371,0.28389834723683127
intent_classification,qwen2.5:7b-instruct,436,0.7522935779816514,0.6448049254464802,0.20435501112113494
intent_classification,llama3.1:8b-instruct,436,0.7201834862385321,0.7073575751971163,0.22434467429705307
intent_classification,aya-expanse:8b,436,0.7155963302752294,0.5632548711165439,0.28525836107165153
intent_classification,falcon3:7b-instruct,436,0.5779816513761468,0.48798023355278936,0.18761696343773704
