task,model,samples,tokens,accuracy,macro_f1,avg_latency_seconds,entity_f1
ner,gemma2:9b,500,15187,0.7955488246526634,0.1218257548657786,1.675276077417191,0.04315576534052595
ner,qwen2.5:7b-instruct,500,15187,0.6894712583130309,0.0945771557769653,1.577289878907148,0.0448207171314741
ner,llama3.1:8b-instruct,500,15187,0.8120102719431093,0.0944100819669818,1.0968341422863304,0.048818897637795275
ner,falcon3:7b-instruct,500,15187,0.8040429314545334,0.092625774340406,1.6765450276839546,0.025974025974025972
ner,aya-expanse:8b,500,15187,0.7347073154671758,0.0801860171949947,1.334985840015579,0.009882643607164917
