task,model,samples,wer_vs_reference,cer_vs_reference,rouge_1,rouge_2,rouge_l,bertscore_precision,bertscore_recall,bertscore_f1,avg_latency_seconds
summarization,llama3.1:8b-instruct,300,173.58493914464242,138.03447647318046,0.08141079664391684,0.03395011172614147,0.07642263687340414,0.5143786072731018,0.5253994464874268,0.5173295736312866,4.533985050790943
summarization,aya-expanse:8b,300,208.78390963428225,172.32749590255474,0.06431853842345205,0.03234369005973205,0.06311924389082417,0.515578031539917,0.5294845104217529,0.5190345644950867,4.139778542050626
summarization,falcon3:7b-instruct,300,235.21406681391008,193.0180600962615,0.009379631309764071,0.002279340680011198,0.009036547184079584,0.3671109080314636,0.3779491186141968,0.3708263635635376,4.135275213980737
summarization,gemma2:9b,300,271.1618173037092,231.13482905150187,0.027609786505631152,0.011411515766121908,0.027300885249288354,0.39211368560791016,0.42531630396842957,0.4067395329475403,5.999279968986909
summarization,qwen2.5:7b-instruct,300,327.11256707709964,256.7649906919589,0.01578944515822243,0.0028271463126025333,0.014206575653456772,0.34331902861595154,0.38432496786117554,0.36200472712516785,4.749134404129969
